Root,ChordType,Index,String1,String2,String3,String4,String5,String6,NumStrings
A,Dom7,1271,5.0,7.0,7.0,0.0,2.0,3.0,6
A,Dom7,1272,5.0,10.0,2.0,2.0,2.0,3.0,6
A,Dom7,1273,3.0,0.0,5.0,2.0,2.0,0.0,6
A,Dom7,1274,3.0,0.0,7.0,0.0,2.0,0.0,6
A,Dom7,1275,3.0,0.0,7.0,6.0,5.0,3.0,6
A,Dom7,1276,3.0,0.0,7.0,6.0,8.0,0.0,6
A,Dom7,1277,3.0,0.0,7.0,9.0,2.0,3.0,6
A,Dom7,1278,5.0,10.0,7.0,6.0,5.0,3.0,6
A,Dom7,1279,5.0,10.0,7.0,6.0,8.0,0.0,6
A,Dom7,1280,5.0,10.0,7.0,9.0,2.0,3.0,6
A,Dom7,1281,0.0,0.0,2.0,2.0,8.0,9.0,6
A,Dom7,1282,0.0,0.0,5.0,2.0,5.0,9.0,6
A,Dom7,1283,0.0,0.0,7.0,0.0,5.0,9.0,6
A,Dom7,1284,0.0,0.0,7.0,9.0,8.0,9.0,6
A,Dom7,1285,0.0,0.0,5.0,2.0,8.0,9.0,6
A,Dom7,1286,0.0,0.0,7.0,0.0,8.0,9.0,6
A,Dom7,1287,3.0,0.0,2.0,2.0,5.0,9.0,6
A,Dom7,1288,5.0,7.0,5.0,2.0,5.0,9.0,6
A,Dom7,1289,5.0,7.0,7.0,0.0,5.0,9.0,6
A,Dom7,1290,5.0,10.0,2.0,2.0,5.0,9.0,6
A,Dom7,1291,5.0,7.0,7.0,9.0,8.0,9.0,6
A,Dom7,1292,3.0,0.0,2.0,2.0,8.0,9.0,6
A,Dom7,1293,5.0,7.0,5.0,2.0,8.0,9.0,6
A,Dom7,1294,5.0,7.0,7.0,0.0,8.0,9.0,6
A,Dom7,1295,5.0,10.0,2.0,2.0,8.0,9.0,6
A,Dom7,1296,3.0,0.0,5.0,2.0,5.0,9.0,6
A,Dom7,1297,3.0,0.0,7.0,0.0,5.0,9.0,6
A,Dom7,1298,3.0,0.0,7.0,9.0,8.0,9.0,6
A,Dom7,1299,5.0,10.0,7.0,9.0,8.0,9.0,6
A,Dom7,1300,5.0,4.0,2.0,0.0,2.0,5.0,6
A,Dom7,1301,9.0,0.0,2.0,0.0,2.0,5.0,6
A,Dom7,1302,5.0,4.0,2.0,6.0,8.0,5.0,6
